Q 0 1 2
Q 1 0 3
Q 2 0 4
Q 3 1 4
Q 4 0 1
Q 5 0 7
Q 6 0 6
Q 7 1 0
Q 8 1 5
Q 9 1 1
Q 10 0 0
Q 11 1 3
Q 12 0 5
Q 13 1 6
Q 14 0 2
Q 15 1 7
G 0 1 1
G 1 10 59
G 2 1 1
G 3 1 0
G 4 1 1
G 5 1 0
G 6 1 7
G 7 9 1
G 8 9 1
G 9 11 59
G 10 2 0
G 11 11 1
G 12 105 0
G 13 106 1
G 14 1 1
G 15 1 0
G 16 10 59
G 17 3 1
G 18 71 7
G 19 3 1
G 20 2 7
G 21 79 0
G 22 70 0
G 23 71 1
G 24 108 0
G 25 13 59
G 26 79 1
G 27 105 1
G 28 3 1
G 29 73 1
G 30 173 1
G 31 81 7
G 32 73 7
G 33 81 7
G 34 73 1
G 35 109 1
G 36 5 0
G 37 6 1
G 38 89 7
G 39 71 1
G 40 97 1
G 41 169 1
G 42 103 7
G 43 79 1
G 44 91 7
G 45 175 0
G 46 159 7
G 47 167 7
G 48 99 59
G 49 175 0
G 50 171 1
G 51 174 1
G 52 175 0
G 53 174 1
G 54 159 7
G 55 175 0
G 56 5 1
G 57 167 7
G 58 174 1
R 1 0 4
R 6 1 2
R 9 1 4
R 16 1 7
R 18 1 3
R 20 0 2
R 25 0 1
R 31 1 3
R 32 1 2
R 33 0 3
R 38 1 3
R 42 0 0
R 44 1 4
R 46 0 7
R 47 0 6
R 48 1 3
R 54 0 3
R 57 1 1
