Q 0 1 2
Q 1 5 1
Q 2 6 1
Q 3 4 6
Q 4 1 3
Q 5 3 4
Q 6 2 0
Q 7 2 3
Q 8 1 5
Q 9 5 6
Q 10 1 1
Q 11 5 7
Q 12 0 4
Q 13 7 5
Q 14 3 5
Q 15 6 0
Q 16 3 7
Q 17 4 2
Q 18 6 5
Q 19 6 7
Q 20 5 4
Q 21 5 2
Q 22 3 6
Q 23 4 0
Q 24 0 6
Q 25 7 4
Q 26 7 3
Q 27 2 2
Q 28 4 1
Q 29 5 5
Q 30 4 7
Q 31 6 4
Q 32 3 0
Q 33 1 6
Q 34 6 2
Q 35 2 6
Q 36 0 7
Q 37 3 2
Q 38 0 2
Q 39 7 1
Q 40 3 3
Q 41 6 3
Q 42 4 3
Q 43 1 4
Q 44 1 0
Q 45 6 6
Q 46 0 0
Q 47 2 4
Q 48 1 7
Q 49 4 5
Q 50 5 0
Q 51 7 6
Q 52 7 0
Q 53 0 1
Q 54 4 4
Q 55 7 7
Q 56 2 5
Q 57 3 1
Q 58 5 3
Q 59 2 7
Q 60 2 1
Q 61 7 2
Q 62 0 5
Q 63 0 3
G 0 1 0
G 1 1 0
G 2 1 0
G 3 1 1
G 4 1 1
G 5 1 1
G 6 1 0
G 7 1 1
G 8 3 0
G 9 1 1
G 10 1 0
G 11 1 1
G 12 3 0
G 13 3 1
G 14 1 1
G 15 1 1
G 16 5 7
G 17 1 1
G 18 14 7
G 19 39 0
G 20 15 7
G 21 1 7
G 22 23 7
G 23 5 7
G 24 9 1
G 25 6 7
G 26 1 1
G 27 2 1
G 28 3 1
G 29 1 1
G 30 1 1
G 31 38 0
G 32 32 1
G 33 3 1
G 34 38 1
G 35 3 7
G 36 1 0
G 37 1 0
G 38 1 1
G 39 1 1
G 40 1 1
G 41 1 1
G 42 11 7
G 43 11 1
G 44 14 1
G 45 14 1
G 46 23 7
G 47 11 1
G 48 16 1
G 49 38 1
G 50 39 0
G 51 38 1
G 52 22 7
G 53 34 1
G 54 1 0
G 55 3 7
G 56 36 1
G 57 1 1
G 58 1 1
G 59 1 1
G 60 1 0
G 61 13 7
G 62 39 0
G 63 14 7
G 64 22 0
G 65 14 7
G 66 4 1
G 67 3 7
G 68 1 1
G 69 22 7
G 70 23 7
G 71 5 0
G 72 38 1
G 73 24 7
G 74 38 1
G 75 38 1
G 76 3 1
G 77 4 1
G 78 35 1
G 79 2 0
G 80 32 7
G 81 21 0
G 82 1 1
G 83 37 0
G 84 3 0
G 85 3 0
G 86 19 1
G 87 38 1
G 88 32 7
G 89 6 1
G 90 1 0
G 91 38 1
G 92 32 7
G 93 36 1
G 94 1 1
G 95 3 1
G 96 1 1
G 97 3 1
G 98 24 7
G 99 1 0
G 100 5 0
G 101 3 1
G 102 8 1
G 103 4 1
G 104 1 1
G 105 31 7
G 106 2 1
G 107 38 1
G 108 6 1
G 109 22 7
R 16 1 6
R 18 7 7
R 20 2 0
R 21 4 1
R 22 5 2
R 23 5 5
R 25 2 3
R 35 1 5
R 42 1 1
R 46 1 4
R 52 1 0
R 55 0 1
R 61 2 4
R 63 5 0
R 65 4 6
R 67 4 4
R 69 1 1
R 70 5 0
R 73 2 1
R 80 1 4
R 88 5 2
R 92 7 5
R 98 2 4
R 105 5 0
R 109 1 3
